Area Code,Area Code (M49),M49 Code,Area,Item Code (FBS),Item Code,Item,Year,target_year,result_type,food_supply_kcal_cap_day,eligible_for_2024_scoring,scoring_exclusion_reason,predicted_shortage_probability,risk_band,predicted_shortage_warning,evidence_review_level,eligible_for_headline_ranking,headline_ranking_exclusion_reason,missing_locked_feature_count,numeric_features_outside_training_range_count,non_year_features_outside_training_range_count,unknown_model_category_count,pair_has_historical_training_support,pair_historical_rows,pair_historical_shortages,pair_historical_shortage_rate,pair_predictor_year_start,pair_predictor_year_end,production_status,recorded_element_count,source_absent_element_count,source_present_missing_element_count,recorded_zero_element_count,recorded_negative_element_count,supply_outcome_recorded_count,supply_outcomes_complete,negative_domestic_supply_flag
20,'072,072,Botswana,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,91.82,True,Eligible for prospective scoring,0.26433539793539784,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,2,1,0,0,True,13.0,5.0,0.38461538461538464,2010.0,2022.0,Recorded positive production,19,1,0,3,1,5,True,False
147,'516,516,Namibia,'S2517,2517,Millet and products,2023,2024,Model-generated 2024 early-warning estimate,43.35,True,Eligible for prospective scoring,0.2529823953823953,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,6,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,17,3,0,4,0,5,True,False
226,'800,800,Uganda,'S2807,2807,Rice and products,2023,2024,Model-generated 2024 early-warning estimate,90.7,True,Eligible for prospective scoring,0.25139516594516603,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,4,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,18,1,1,4,0,5,True,False
159,'566,566,Nigeria,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,99.49,True,Eligible for prospective scoring,0.25011277056277054,Warning: 13% to below 30%,1,Heightened evidence review,True,Eligible for headline ranking inputs,8,4,3,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,17,2,1,1,1,5,True,False
136,'478,478,Mauritania,'S2518,2518,Sorghum and products,2023,2024,Model-generated 2024 early-warning estimate,115.13,True,Eligible for prospective scoring,0.24293961038961043,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,13,1,0,0,True,13.0,6.0,0.46153846153846156,2010.0,2022.0,Recorded positive production,16,4,0,3,0,5,True,False
209,'748,748,Eswatini,'S2511,2511,Wheat and products,2023,2024,Model-generated 2024 early-warning estimate,294.82,True,Eligible for prospective scoring,0.24105815295815303,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,5,1,0,0,True,13.0,1.0,0.07692307692307693,2010.0,2022.0,Recorded positive production,18,1,1,3,0,5,True,False
195,'686,686,Senegal,'S2535,2535,Yams,2023,2024,Model-generated 2024 early-warning estimate,15.27,True,Eligible for prospective scoring,0.24045991230991254,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,16,1,0,0,True,8.0,0.0,0.0,2015.0,2022.0,Recorded positive production,15,4,1,3,0,5,True,False
197,'694,694,Sierra Leone,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,54.14,True,Eligible for prospective scoring,0.2389334554334553,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,10,1,0,0,True,13.0,3.0,0.23076923076923078,2010.0,2022.0,Recorded positive production,17,3,0,3,0,5,True,False
7,'024,024,Angola,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,38.23,True,Eligible for prospective scoring,0.2385874458874458,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,3,1,0,0,True,13.0,0.0,0.0,2010.0,2022.0,Recorded positive production,18,2,0,2,1,5,True,False
195,'686,686,Senegal,'S2552,2552,Groundnuts,2023,2024,Model-generated 2024 early-warning estimate,139.73,True,Eligible for prospective scoring,0.22597539682539675,Warning: 13% to below 30%,1,Within usual historical support,True,Eligible for headline ranking inputs,9,1,0,0,True,13.0,2.0,0.15384615384615385,2010.0,2022.0,Recorded positive production,17,2,1,0,0,5,True,False
