Rank,Historical_burden_rank,Recent_burden_rank,Forward_screening_priority_rank,Forward_peak_risk_rank
Historical_burden_rank,1.0,0.7959647156880327,0.6437337274418647,0.47925084870319967
Recent_burden_rank,0.7959647156880327,1.0,0.5749689523872588,0.4048960073381498
Forward_screening_priority_rank,0.6437337274418647,0.5749689523872588,1.0,0.7688009664753851
Forward_peak_risk_rank,0.47925084870319967,0.4048960073381498,0.7688009664753851,1.0
