Item Code,Item,Historical_eligible_observations,Historical_shortage_events,Countries_assessed,Outcome_years_assessed,Countries_with_shortages,Countries_with_recurrent_shortages,Historical_event_rate,Historical_rate_lower_bound,Historical_rate_upper_bound,Recent_eligible_observations,Recent_shortage_events,Recent_countries_assessed,Recent_event_rate,Recent_rate_lower_bound,Recent_rate_upper_bound,Forward_scored_countries,Forward_watch_or_higher,Forward_formal_warnings,Forward_high_warnings,Forward_average_probability,Forward_maximum_probability,Forward_warning_share,Historical_commodity_burden_rank,Recent_commodity_burden_rank,Forward_commodity_priority_rank
2518,Sorghum and products,333,59,27,13,20,18,0.17717717717717718,0.13991804336642083,0.22179948168904517,127,23,27,0.18110236220472442,0.12381808756581346,0.25711207990501206,26,21,9,1,0.11529076329653253,0.3235256632256632,0.34615384615384615,1,1,3
2552,Groundnuts,464,64,40,13,25,22,0.13793103448275862,0.10951642529705972,0.17229155972639654,181,27,39,0.14917127071823205,0.10458892770322786,0.20833577647151774,35,28,20,1,0.1584251596335995,0.5291494949494947,0.5714285714285714,2,2,1
2517,Millet and products,280,34,23,13,16,12,0.12142857142857143,0.08821036298884688,0.16489381396677255,106,15,23,0.14150943396226415,0.08767037317283104,0.22042330278550748,21,14,7,1,0.11104828506383127,0.3233645743145742,0.3333333333333333,3,3,4
2511,Wheat and products,559,57,43,13,24,12,0.10196779964221825,0.07953767707274853,0.1298311549027851,215,26,43,0.12093023255813953,0.08387692207999058,0.17129163291692767,43,29,16,5,0.13134964325080603,0.6106484126984126,0.37209302325581395,4,4,2
2514,Maize and products,528,51,42,13,22,14,0.09659090909090909,0.07423077078013468,0.12477864652890155,204,20,41,0.09803921568627451,0.06436414988115377,0.1465728742787679,41,20,8,4,0.09889197269532636,0.619498629148629,0.1951219512195122,5,5,5
2807,Rice and products,559,42,43,13,23,14,0.07513416815742398,0.05606396292639565,0.10000389142951105,215,15,43,0.06976744186046512,0.04273253685552896,0.11190662065631085,43,29,10,0,0.09161781358176707,0.25139516594516603,0.23255813953488372,6,6,6
2532,Cassava and products,362,24,28,13,14,6,0.06629834254143646,0.04495370583707839,0.09675100687592936,138,10,28,0.07246376811594203,0.039834286943926704,0.1282509754251864,27,9,5,0,0.061940962227073355,0.2110762681762682,0.18518518518518517,7,7,7
2535,Yams,163,3,14,13,3,0,0.018404907975460124,0.006278750696494414,0.05270813955403271,62,1,13,0.016129032258064516,0.002852867168621827,0.08586720260689992,12,5,1,0,0.05878758648758651,0.24045991230991254,0.08333333333333333,8,8,8
