risk_band,Observations,Countries,Commodities,Average_probability,Minimum_probability,Maximum_probability
Very low: below 5%,93,37,8,0.02581252600446149,0.0,0.04983809523809523
Watch: 5% to below 13%,79,39,8,0.08683793450592595,0.05181984126984127,0.12885111832611837
Warning: 13% to below 30%,65,35,8,0.19404709486268013,0.13094401154401158,0.2914373015873017
High warning: 30% or more,12,10,5,0.4339018957893958,0.3181731435231435,0.619498629148629
